departurestation,dayofweekyear,A0000_1259_to_A0500_0559_perc,A0600_0659_to_A1100_1159_perc,A1200_1259_to_A1700_1759_perc,A1800_1859_to_A2300_2359_perc
KUL,Sun2017,1.25,20.52,23.76,19.62
KUL,Sun2018,1.11,15.62,19.28,16.36
KUL,Sun2019,0.91,12.91,18.94,15.56
KUL,Mon2017,1.14,21.33,25.66,18.7
KUL,Mon2018,1.03,16.92,22.54,16.66
KUL,Mon2019,0.66,14.24,21.13,15.18
KUL,Tue2017,1.31,20.42,25.03,18.93
KUL,Tue2018,0.89,16.01,22.47,16.46
KUL,Tue2019,1.07,13.08,20.43,14.35
KUL,Wed2017,1.34,21.15,25.37,18.77
KUL,Wed2018,1.21,17.15,21.16,16.01
KUL,Wed2019,1.06,14.07,20.51,14.46
KUL,Thurs2017,1.2,20.5,25.49,19.62
KUL,Thurs2018,0.94,15.06,22.41,17.24
KUL,Thurs2019,1.24,13.71,22.09,16.63
KUL,Fri2017,1.23,21.12,25.46,20.22
KUL,Fri2018,1.09,16.76,21.58,17.91
KUL,Fri2019,0.91,14.27,20.39,16.38
KUL,Sat2017,1.17,20.76,24.63,17.62
KUL,Sat2018,1.07,15.76,22.09,16.99
KUL,Sat2019,1.05,13.01,19.94,16.01


